Role,Description
Washerwoman,You start knowing that 1 of 2 players is a particular Townsfolk.
Librarian,You start knowing that 1 of 2 players is a particular Outsider. (Or that zero are in play.)
Investigator, You start knowing that 1 of 2 players is a particular Minion.
Chef,You start knowing how many pairs of evil players there are.
Empath,Each night-you learn how many of your 2 alive neighbours are evil.
Fortune Teller,Each night-choose 2 players: you learn if either is a Demon. There is a good player that registers as a Demon to you.
Undertaker,Each night*-you learn which character died by execution today.
Monk,Each night*-choose a player (not yourself): they are safe from the Demon tonight.
Ravenkeeper,If you die at night you are woken to choose a player: you learn their character.
Virgin,The 1st time you are nominated-if the nominator is a Townsfolk-they are executed immediately.
Slayer,Once per game-during the day-publicly choose a player: if they are the Demon-they die.
Soldier,You are safe from the Demon.
Mayor,If only 3 players live & no execution occurs-your team wins. If you die at night-another player might die instead.
